Index,batting_team,bowling_team,city,runs_left,balls_left,wickets,target_runs,cur_run_rate,req_run_rate,result
151,Delhi Daredevils,Royal Challengers Bangalore,Bangalore,125,92,9,158,7.071428571,8.152173913,0
152,Delhi Daredevils,Royal Challengers Bangalore,Bangalore,125,91,9,158,6.827586207,8.241758242,0
153,Delhi Daredevils,Royal Challengers Bangalore,Bangalore,121,90,9,158,7.4,8.066666667,0
154,Delhi Daredevils,Royal Challengers Bangalore,Bangalore,121,89,9,158,7.161290323,8.157303371,0
155,Delhi Daredevils,Royal Challengers Bangalore,Bangalore,120,88,9,158,7.125,8.181818182,0
156,Delhi Daredevils,Royal Challengers Bangalore,Bangalore,120,87,8,158,6.909090909,8.275862069,0
157,Delhi Daredevils,Royal Challengers Bangalore,Bangalore,117,86,8,158,7.235294118,8.162790698,0
158,Delhi Daredevils,Royal Challengers Bangalore,Bangalore,116,85,8,158,7.2,8.188235294,0
159,Delhi Daredevils,Royal Challengers Bangalore,Bangalore,115,84,8,158,7.166666667,8.214285714,0
160,Delhi Daredevils,Royal Challengers Bangalore,Bangalore,114,83,8,158,7.135135135,8.240963855,0
161,Delhi Daredevils,Royal Challengers Bangalore,Bangalore,113,82,8,158,7.105263158,8.268292683,0
162,Delhi Daredevils,Royal Challengers Bangalore,Bangalore,113,81,8,158,6.923076923,8.37037037,0
163,Delhi Daredevils,Royal Challengers Bangalore,Bangalore,112,80,8,158,6.9,8.4,0
164,Delhi Daredevils,Royal Challengers Bangalore,Bangalore,106,79,8,158,7.609756098,8.050632911,0
165,Delhi Daredevils,Royal Challengers Bangalore,Bangalore,105,78,8,158,7.571428571,8.076923077,0
166,Delhi Daredevils,Royal Challengers Bangalore,Bangalore,104,77,8,158,7.534883721,8.103896104,0
167,Delhi Daredevils,Royal Challengers Bangalore,Bangalore,103,76,8,158,7.5,8.131578947,0
168,Delhi Daredevils,Royal Challengers Bangalore,Bangalore,103,75,7,158,7.333333333,8.24,0
169,Delhi Daredevils,Royal Challengers Bangalore,Bangalore,102,74,7,158,7.304347826,8.27027027,0
170,Delhi Daredevils,Royal Challengers Bangalore,Bangalore,96,73,7,158,7.914893617,7.890410959,0
171,Delhi Daredevils,Royal Challengers Bangalore,Bangalore,95,72,7,158,7.875,7.916666667,0
172,Delhi Daredevils,Royal Challengers Bangalore,Bangalore,94,71,7,158,7.836734694,7.943661972,0
173,Delhi Daredevils,Royal Challengers Bangalore,Bangalore,93,70,7,158,7.8,7.971428571,0
174,Delhi Daredevils,Royal Challengers Bangalore,Bangalore,93,71,7,158,7.959183673,7.85915493,0
